Frame,Time,R,G,B
1,254,0,0
7,0,254,0
30,0,254,0
37,6,1,253
60,3,0,248
67,255,6,14
90,255,0,5
97,2,246,4
120,3,252,4
127,1,0,252
150,1,0,250
157,255,1,5
180,255,0,0
187,0,253,0
210,0,254,0
217,3,0,250
240,0,0,255
247,251,0,3
270,255,0,0
277,0,252,0
300,0,254,0
307,3,0,250
330,0,0,254
337,254,0,0
360,254,0,1
367,0,253,0
390,0,254,2
397,1,0,255
420,0,0,254
427,253,2,5
450,255,0,0
457,0,254,0
480,0,254,0
487,0,0,254
510,0,0,254
517,255,0,1
540,254,0,0
547,0,254,0
570,0,254,0
577,0,0,254
600,0,0,254
607,253,0,1
630,254,0,0
637,0,252,0
660,0,254,0
667,1,0,250
690,0,0,255
697,254,0,0
720,254,0,1
727,0,254,0
750,0,254,0
757,0,0,252
780,0,0,254
787,255,2,0
810,254,0,0
817,0,254,0
840,0,254,0
847,1,0,254
870,0,0,254
877,254,0,0
900,254,0,0
907,1,253,2
930,0,254,0
937,0,0,254
960,0,0,254
967,254,0,0
990,254,0,0
997,1,253,2
1020,0,254,0
1027,1,0,254
1050,0,0,254
1057,255,0,1
1080,254,0,0
1087,1,253,2
1110,0,254,2
1117,1,0,254
1140,0,0,254
1147,254,0,0
1170,254,0,0
1177,0,254,2
1200,0,254,0
1207,1,0,254
1230,0,0,254
1237,254,0,1
1260,254,0,0
1267,1,253,2
1290,0,254,0
1297,0,0,254
1320,0,0,254
1327,254,0,1
1350,254,0,0
1357,0,254,0
1380,0,254,0
1387,0,0,254
1410,0,0,254
1417,254,0,0
1440,254,0,0
1447,0,254,0
1470,0,254,0
1477,0,0,252
1500,0,0,254
1507,254,0,0
1530,254,0,0
1537,0,254,2
1560,0,254,0
1567,0,0,254
1590,0,0,254
1597,253,0,0
1620,254,0,0
1627,1,253,2
1650,0,254,0
1657,1,0,254
1680,0,0,254
1687,253,0,0
1710,254,0,0
1717,0,254,2
1740,0,254,0
1747,0,0,254
1770,0,0,254
1777,255,0,0
1800,254,0,0
1807,0,254,2
1830,0,254,0
1837,1,0,254
1860,0,0,254
1867,255,0,0
1890,254,0,0
1897,0,254,2
1920,0,254,0
1927,1,0,254
1950,0,0,254
1957,254,0,0
1980,254,0,0
1987,1,253,2
2010,0,254,0
2017,0,0,254
2040,0,0,254
2047,254,0,0
2070,254,0,0
2077,1,253,2
2100,0,254,0
2107,1,0,254
2130,0,0,254
2137,254,0,0
2160,254,0,0
2167,1,253,2
2190,0,254,0
2197,0,0,254
2220,0,0,254
2227,255,0,0
2250,254,0,0
2257,0,254,0
2280,0,254,0
2287,0,0,254
2310,0,0,254
2317,254,0,0
2340,254,0,0
2347,0,254,2
2370,0,254,0
2377,1,0,254
2400,0,0,254
2407,255,0,0
2430,254,0,0
2437,1,253,2
2460,0,254,0
2467,1,0,254
2490,0,0,254
2497,254,0,0
2520,254,0,0
2527,0,254,2
2550,0,254,0
2557,1,0,254
2580,0,0,254
2587,254,0,0
2610,254,0,0
2617,1,253,2
2640,0,254,0
2647,1,0,254
2670,0,0,254
2677,254,0,0
2700,254,0,0
2707,1,253,2
2730,0,254,0
2737,1,0,254
2760,0,0,254
2767,255,0,0
2790,254,0,0
2797,1,253,2
2820,0,254,0
2827,0,0,254
2850,0,0,254
2857,254,0,0
2880,254,0,0
2887,0,254,2
2910,0,254,0
2917,1,0,254
2940,0,0,254
2947,254,0,0
2970,254,0,0
2977,0,254,2
3000,0,254,0
3007,0,0,254
3030,0,0,254
3037,254,0,0
3060,254,0,0
3067,1,253,2
3090,0,254,0
3097,0,0,254
3120,0,0,254
3127,255,0,0
3150,254,0,0
3157,0,254,2
3180,0,254,2
3187,0,0,254
3210,0,0,254
3217,254,0,1
3240,254,0,0
3247,1,253,2
3270,0,254,0
3277,1,0,254
3300,0,0,254
3307,254,0,1
3330,254,0,0
3337,1,253,2
3360,0,254,0
3367,0,0,254
3390,0,0,254
3397,254,0,0
3420,254,0,1
3427,1,253,2
3450,0,254,0
3457,0,0,254
3480,0,0,254
